# List Network Requests

| reqid | method | url | status |
|---|---|---|---|
| 252 | GET | http://localhost:3000/settings | failed - 304 |
| 253 | GET | http://gc.kis.v2.scr.kaspersky-labs.com/FD126C42-EBFA-4E12-B309-BB3FDD723AC1/main.js?attr=7sSoYXfhAUk31ul3diKvwQT3WdiQMgN9PQEacZka_SwzoiyC6bS1sae8DoNyyOHp | success - 200 |
| 254 | GET | https://unpkg.com/aos@next/dist/aos.js | failed - 302 |
| 255 | GET | http://localhost:3000/static/js/bundle.js | success - 200 |
| 256 | GET | http://localhost:3000/manifest.json | failed - 304 |
| 257 | GET | http://gc.kis.v2.scr.kaspersky-labs.com/7D8B79A2-8974-4D7B-A76A-F4F29624C06BnYrUrutd159EfuTuxWGWdoYRBhayDiPuayZrI9gntGKKH4re9r5FvKxzdfbYea9fXAYlFC8QVHGNvnPiHvNDtw/init?data=eyJ1cmwiOiJodHRwOi8vbG9jYWxob3N0OjMwMDAvc2V0dGluZ3MiLCJwbHVnaW5zIjoid3NtJndudCZjYSZ2cyZwYyZ1YSZjYiZ4aHJfY29udGVudCIsImRhdGEiOnsiZGF0YSI6W3sicGx1Z2luIjoid3NtIiwicGFyYW1ldGVycyI6IntcInJlZmVycmVyXCI6XCJcIixcInN0dWJJZFwiOlwiXCJ9In0seyJwbHVnaW4iOiJ3bnQiLCJwYXJhbWV0ZXJzIjoie1wicmVmZXJyZXJcIjpcIlwifSJ9LHsicGx1Z2luIjoidWEiLCJwYXJhbWV0ZXJzIjoie30ifSx7InBsdWdpbiI6Inhocl9jb250ZW50IiwicGFyYW1ldGVycyI6IntcInJlZmVycmVyXCI6XCJcIn0ifV19LCJpc1RvcExldmVsIjp0cnVlLCJwYWdlU3RhcnRUaW1lIjowLCJuYXZpZ2F0aW9uU3RhcnRUaW1lIjoxNzc1MDUxMDUxNDczfQ%3D%3D&nocache=16668&tm=2026-04-01T13%3A44%3A11.797Z | success - 200 |
| 258 | GET | https://unpkg.com/aos@3.0.0-beta.6/dist/aos.js | success - 200 |
| 259 | POST | http://gc.kis.v2.scr.kaspersky-labs.com/6EC8DA73-0F83-4BEA-9796-75053E98A009/2A6156B2-8178-4151-A014-5CEBE159BB71/to/wsm.sessionActivated?tm=2026-04-01T13%3A44%3A12.306Z | success - 200 |
| 260 | GET | https://fonts.googleapis.com/css2?family=IBM+Plex+Sans:wght@300;400;500;600;700&display=swap | success - 200 |
